target_id,input_tokens,output_tokens,latency,success,pred_id,answer
1,514,6,0.36,1,1,go_near(1)
2,508,6,0.17,1,2,go_near(2)
3,505,6,0.18,1,3,go_near(3)
4,454,6,0.16,1,4,go_near(4)
5,510,6,0.17,1,5,go_near(5)
6,507,6,0.17,1,6,go_near(6)
7,504,6,0.17,1,7,go_near(7)
8,456,6,0.16,1,8,go_near(8)
9,511,6,0.17,1,9,go_near(9)
10,509,7,0.18,1,10,go_near(10)
11,501,7,0.19,1,11,go_near(11)
12,449,7,0.19,1,12,go_near(12)
13,505,7,0.19,1,13,go_near(13)
14,507,7,0.19,1,14,go_near(14)
15,504,7,0.18,1,15,go_near(15)
